epoch,loss
1,5.3934
2,5.2087
3,5.1344
4,5.0995
5,5.0728
6,5.0536
7,5.03
8,5.0155
9,5.0052
10,4.9886
11,4.9791
12,4.9656
13,4.9574
14,4.9516
15,4.9376
16,4.93
17,4.9238
18,4.9155
19,4.9106
20,4.9038
21,4.8997
22,4.8934
23,4.8901
24,4.8837
25,4.8798
26,4.8777
27,4.8674
28,4.8667
29,4.864
30,4.8577
31,4.859
32,4.8532
33,4.8489
34,4.8468
35,4.8437
36,4.8404
37,4.84
38,4.8367
39,4.8341
40,4.8286
41,4.8263
42,4.8252
43,4.8233
44,4.8226
45,4.8189
46,4.8172
47,4.8126
48,4.8099
49,4.8101
50,4.8057
51,4.8042
52,4.8014
53,4.8011
54,4.7961
55,4.7956
56,4.7964
57,4.7936
58,4.7906
59,4.7884
60,4.7869
61,4.7887
62,4.7858
63,4.7842
64,4.783
65,4.782
66,4.7812
67,4.7746
68,4.7746
69,4.7747
70,4.7749
71,4.7722
72,4.7675
73,4.7703
74,4.7632
75,4.7652
76,4.7615
77,4.761
78,4.7634
79,4.7598
80,4.7597
81,4.7584
82,4.7602
83,4.7588
84,4.7559
85,4.7562
86,4.7537
87,4.7508
88,4.7516
89,4.7485
90,4.7504
91,4.7485
92,4.7477
93,4.7426
94,4.7465
95,4.7441
96,4.7402
97,4.7434
98,4.7392
99,4.7383
100,4.7385
